Active DAGs,GlueJobs in DAGs,Number of workers,Worker Type,Average Time in Seconds,Average Time in Hours9/14/2023,Comments
hdp_labor_shortage_daily_sync,load_labor_shortage,9 DPU,,,,
camp_unload,NA,NA,NA,,,
hdp_adc_daily_sync,transform_fact_adc_split,10 DPU,G.1X,,,
,load_fact_adc_split,10 DPU,G.1X,,,
,transform_fact_las_opportunity_aggregates_daily,10 DPU,G.1X,,,
,transform_fact_adc_lift,4 DPU,G.1X,,,
,load_fact_las_opportunity_aggregates_daily,10 DPU,Standard,,,
,load_fact_adc_lift,10 DPU,G.1X,,,
,load_redshift_opportunity_with_adc,10 DPU,G.1X,,,
,load_hdp_elasticity_with_dsi,10 DPU,G.1X,,,
,load_redshift_ar_opportunities_daily,10 DPU,G.1X,,,
,load_redshift_oid_with_ssm_output,10 DPU,G.1X,,,
,load_redshift_hdp_model_siterun_details,5 DPU,Standard,,,
,load_attd_fact_points_asi,10 DPU,Standard,3477.4,0.966,
,load_las_opportunity_snapshot_daily,10 DPU,G.1X,,,
,transform_hdp_metrics_datasets_new,10 DPU,G.1X,,,
,transform_hdp_metrics_new,10 DPU,G.2X,,,
,load_hdp_metrics_new,10 DPU,Standard,,,
,transform_odyssey_hdp,10 DPU,G.2X,,,
,load_odyssey_hdp,10 DPU,Standard,,,
hits_2.0_all_events_daily_sync,load_hits_2_jobs_all_events_daily,4 DPU,Standard,,,
,transform_hits_2_locations_all_events_daily,4 DPU,Standard,,,
,load_hits_2_locations_all_events_daily,4 DPU,Standard,,,
,transform_hits_2_location_config_all_events_daily,4 DPU,Standard,,,
,load_hits_2_location_config_all_events_daily,4 DPU,Standard,,,
,transform_hits_2_eligibilityCache_all_events_daily,4 DPU,G.2X,,,
,transform_hits_2_eligibility_all_events_daily_combined,4 DPU,Standard,,,
,load_hits_2_eligibility_all_events_daily,4 DPU,Standard,,,
,transform_hits_2_applications_all_events_daily,4 DPU,Standard,,,
,load_hits_2_applications_all_events_daily,4 DPU,Standard,,,
,transform_hits_2_offers_all_events_daily,4 DPU,Standard,,,
,load_hits_2_offers_all_events_daily,4 DPU,Standard,,,
,transform_hits_2_transfers_all_events_daily,4 DPU,Standard,,,
,load_hits_2_transfers_all_events_daily,4 DPU,Standard,,,
,transform_hits_2_lob_config_all_events_daily,4 DPU,Standard,,,
,load_hits_2_lob_config_all_events_daily,4 DPU,Standard,,,
,transform_hits_2_conversions_all_events_daily,4 DPU,Standard,,,
,load_hits_2_conversions_all_events,4 DPU,Standard,,,
odyssey_apps_engagement,Odyssey_Apps_Engagement,20 DPU,G.4X,,,
shift_choice,crs_copy_files_from_aft,10 DPU,G.1X,,,
,transform-crs-preferences,10 DPU,G.1X,,,
data_validation_daily,load_data_validation_qa_result,2 DPU,Standard,,,
,load_data_validation_dq_result,2 DPU,Standard,,,
cloudtrail_logs_conduit,OE_cloudtrail_logs,NA,NA,,,
hits_2.0_hourly_sync,transform_hits_2_jobs_hourly,10 DPU,G.1X,,,
,load_hits_2_jobs_hourly,4 DPU,Standard,,,
,transform_hits_2_locations_hourly,4 DPU,Standard,,,
,load_hits_2_locations_hourly,4 DPU,Standard,,,
,transform_hits_2_location_config_hourly,10 DPU,G.2X,,,
,load_hits_2_location_config_hourly,4 DPU,Standard,,,
,transform_hits_2_eligibilityCache_hourly,4 DPU,Standard,,,
,transform_hits_2_eligibility_hourly_combined,4 DPU,Standard,,,
,load_hits_2_eligibility_hourly,4 DPU,Standard,,,
,transform_hits_2_applications_hourly,4 DPU,Standard,,,
,load_hits_2_applications_hourly,4 DPU,Standard,,,
,transform_hits_2_offers_hourly,4 DPU,Standard,,,
,load_hits_2_offers_hourly,4 DPU,Standard,,,
,transform_hits_2_transfers_hourly,4 DPU,Standard,,,
,load_hits_2_transfers_hourly,4 DPU,Standard,,,
,transform_hits_2_lob_config_hourly,4 DPU,Standard,,,
,load_hits_2_lob_config_hourly,4 DPU,Standard,,,
,transform_hits_2_conversions_hourly,4 DPU,Standard,,,
,load_hits_2_conversions_hourly,4 DPU,Standard,,,
Alliance_Metrics_Onboarding_Dag,Alliance_Metrics_Onboarding,10 DPU,G.2X,,,
palisades_adc_audit,PalisadesAdcAudit-transform-get-HDP-stacked-PHP-employees,6 DPU,G.1X,,,
,PalisadesAdcAudit-transform-get-PHP-MyTime-Schedule-employees,6 DPU,G.1X,,,
,PalisadesAdcAudit-transform-fact_adc_pay_defects_daily,6 DPU,G.1X,,,
shift_swap_process_events,ShiftSwap-Transform_sns_events_fact_shiftswap_events_hourly,4 DPU,G.1X,,,
,ShiftSwap-Load-fact_shift_swap_events_hourly,4 DPU,G.1X,,,
,ShiftSwap-Transform-Events-fact_shiftswap_events_denormalized_daily,4 DPU,G.1X,,,
,ShiftSwap-Load-fact_shiftswap_events_denormalized_daily,4 DPU,G.1X,,,
,Odyssey_Shift_Swap,10 DPU,G.1X,,,
shift_swap_process_events_new,ShiftSwap-Transform_sns_events_fact_shiftswap_events_hourly_new,4 DPU,G.1X,,,
,ShiftSwap-Load-fact_shift_swap_events_hourly_new,4 DPU,G.1X,,,
scarlet_shift_swap_recommendation_weekly_targets,SS-n_week_rolling_threshold_targets,20 DPU,G.2X,,,
scarlet_shift_swap_recommendation,ShiftSwap-recommendation-adjust_daily_threshold_targets,40 DPU,G.2X,,,
,ShiftSwap-recommendation-adjust_daily_threshold_targets,40 DPU,G.2X,,,
,ShiftSwap-recommendation-net-totality-impact,60 DPU,G.2X,,,
,ShiftSwap-recommendation-net-totality-impact,60 DPU,G.2X,,,
scarlet_shift_swap_recommendation_weekly_targets_gamma,SS-n_week_rolling_threshold_targets-gamma,20 DPU,G.2X,1769.8,0.492,
scarlet_shift_swap_recommendation_gamma,ShiftSwap-recommendation-adjust_daily_threshold_targets-gamma,20 DPU,G.4X,,,
,ShiftSwap-recommendation-adjust_daily_threshold_targets-gamma,20 DPU,G.4X,,,
,ShiftSwap-recommendation-net-totality-impact-gamma,40 DPU,G.2X,,,
shift_match_scarlet_shift_swap_intraday_gamma,ShiftMatch_ShiftSwap-Transform_sns_events_fact_shiftswap_events_hourly_test,10 DPU,G.2X,,,
,ShiftMatch_ShiftSwap-recommendation-adjust_daily_threshold_targets_test,40 DPU,G.2X,,,
,ShiftMatch_ShiftSwap-recommendation-adjust_daily_threshold_targets_test,40 DPU,G.2X,,,
,ShiftMatch_ShiftSwap-recommendation-net-totality-impact_test,40 DPU,G.2X,,,
,ShiftMatch_ShiftSwap-recommendation-net-totality-impact_test,40 DPU,G.2X,,,
shift_match_scarlet_shift_swap_recommendation_weekly_gamma,ShiftMatch_SS-n_week_rolling_threshold_targets_test,20 DPU,G.2X,,,
alps_daily_sync,load_dat_alps_metadata_na,10 DPU,G.1X,,,
